LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,PS,TS,KT,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
28.75,77.25,1986,1,20,0.03,0.003982,99.22,13.15,0.53,3.31,8.12
28.25,77.25,1986,1,21,0.06,0.005882,99.32,14.56,0.68,4.31,7.17
28.75,77.25,1986,1,21,0.05,0.004938,99.28,14.03,0.68,4.31,7.17
28.25,77.25,1986,1,22,0.15,0.005027,99.22,15.7,0.67,4.25,7.25
28.75,77.25,1986,1,22,0.1,0.004765,99.18,15.11,0.67,4.25,7.25
28.25,77.25,1986,1,23,0,0.004845,99.17,15.75,0.74,4.72,7.03
28.75,77.25,1986,1,23,0,0.004766,99.12,15.48,0.74,4.72,7.03
28.25,77.25,1986,1,24,0,0.003256,99.14,13.05,0.73,4.7,6.62
28.75,77.25,1986,1,24,0,0.003313,99.07,12.67,0.73,4.7,6.62
28.25,77.25,1986,1,25,0,0.003404,99.11,13.21,0.65,4.24,7.14
28.75,77.25,1986,1,25,0,0.003404,99.06,12.93,0.65,4.24,7.14
28.25,77.25,1986,1,26,0,0.004083,99.16,14.24,0.68,4.44,6.84
28.75,77.25,1986,1,26,0,0.003957,99.11,14.06,0.68,4.44,6.84
28.25,77.25,1986,1,27,0.01,0.004038,99.26,14.54,0.63,4.17,7.42
28.75,77.25,1986,1,27,0,0.003844,99.23,13.85,0.63,4.17,7.42
28.25,77.25,1986,1,28,0.02,0.004952,99.17,14.54,0.46,3.06,8.73
28.75,77.25,1986,1,28,0.02,0.004763,99.14,14.2,0.46,3.06,8.73
28.25,77.25,1986,1,29,25.06,0.007748,99.1,14.52,0.61,4.06,7.85
28.75,77.25,1986,1,29,25.54,0.007157,99.09,13.3,0.61,4.06,7.85
28.25,77.25,1986,1,30,1.27,0.007175,98.97,15.41,0.61,4.12,7.73
28.75,77.25,1986,1,30,0.59,0.006894,98.93,14.72,0.61,4.12,7.73
28.25,77.25,1986,1,31,0,0.004608,98.9,13.38,0.76,5.11,6.59
28.75,77.25,1986,1,31,0,0.004772,98.83,13.35,0.76,5.11,6.59
28.25,77.25,1986,2,1,0.06,0.003584,98.82,12.25,0.7,4.78,6.47
28.75,77.25,1986,2,1,0.16,0.003831,98.75,12.2,0.7,4.78,6.47
28.25,77.25,1986,2,2,0,0.003343,98.95,12.71,0.6,4.1,7.14
28.75,77.25,1986,2,2,0,0.003359,98.89,12.57,0.6,4.1,7.14
28.25,77.25,1986,2,3,0,0.003347,98.96,14.23,0.37,2.57,8.44
28.75,77.25,1986,2,3,0,0.003354,98.91,13.64,0.37,2.57,8.44
28.25,77.25,1986,2,4,0,0.003932,98.96,15.22,0.62,4.3,7.03
28.75,77.25,1986,2,4,0,0.003782,98.91,14.97,0.62,4.3,7.03
28.25,77.25,1986,2,5,0.1,0.004436,98.97,16.07,0.61,4.25,6.88
28.75,77.25,1986,2,5,0.04,0.004226,98.92,15.63,0.61,4.25,6.88
28.25,77.25,1986,2,6,0,0.004284,99.05,14.6,0.65,4.56,8.21
28.75,77.25,1986,2,6,0,0.004452,98.99,14.43,0.65,4.56,8.21
28.25,77.25,1986,2,7,0,0.004188,99.03,15.07,0.76,5.4,6.66
28.75,77.25,1986,2,7,0,0.00428,98.97,15.27,0.76,5.4,6.66
28.25,77.25,1986,2,8,0,0.004293,99.1,15.56,0.77,5.48,7.27
28.75,77.25,1986,2,8,0,0.004144,99.07,15.08,0.77,5.48,7.27
28.25,77.25,1986,2,9,2.77,0.007143,99.15,13.66,0.14,0.98,8.27
28.75,77.25,1986,2,9,2.64,0.006599,99.13,12.75,0.14,0.98,8.27
28.25,77.25,1986,2,10,19.18,0.009661,98.97,15.43,0.28,2.03,8.66
28.75,77.25,1986,2,10,21.9,0.009506,98.95,14.4,0.28,2.03,8.66
28.25,77.25,1986,2,11,4.97,0.008661,99.22,14.26,0.23,1.69,8.32
28.75,77.25,1986,2,11,5.53,0.008643,99.19,13.79,0.23,1.69,8.32
28.25,77.25,1986,2,12,0,0.007941,98.97,16.16,0.35,2.56,8.16
28.75,77.25,1986,2,12,0,0.007838,98.93,16.16,0.35,2.56,8.16
28.25,77.25,1986,2,13,0.35,0.00777,98.95,17.43,0.53,3.94,8.23
28.75,77.25,1986,2,13,0.51,0.00777,98.91,17.34,0.53,3.94,8.23
28.25,77.25,1986,2,14,0.83,0.008051,98.98,15.52,0.58,4.28,8.63
28.75,77.25,1986,2,14,1.35,0.008088,98.92,15.42,0.58,4.28,8.63
28.25,77.25,1986,2,15,0.08,0.005467,99.03,15.36,0.68,5.09,6.83
28.75,77.25,1986,2,15,0.7,0.005538,98.97,15.02,0.68,5.09,6.83
28.25,77.25,1986,2,16,0.93,0.004365,98.91,13.76,0.77,5.84,6.67
28.75,77.25,1986,2,16,0.9,0.004273,98.84,13.49,0.77,5.84,6.67
28.25,77.25,1986,2,17,0,0.004378,98.97,15.12,0.77,5.84,6.7
28.75,77.25,1986,2,17,0,0.004321,98.91,14.67,0.77,5.84,6.7
28.25,77.25,1986,2,18,0,0.005167,99.08,17.27,0.75,5.76,7.19
28.75,77.25,1986,2,18,0,0.005171,99.04,16.99,0.75,5.76,7.19
28.25,77.25,1986,2,19,0,0.005221,99.05,16.65,0.77,5.96,7.11
28.75,77.25,1986,2,19,0,0.005194,98.99,16.46,0.77,5.96,7.11
28.25,77.25,1986,2,20,0,0.005231,98.89,18.2,0.45,3.47,9.05
28.75,77.25,1986,2,20,0,0.005047,98.85,17.81,0.45,3.47,9.05
28.25,77.25,1986,2,21,0.27,0.00652,98.83,18.94,0.16,1.25,8.52
28.75,77.25,1986,2,21,0.59,0.006446,98.81,17.91,0.16,1.25,8.52
28.25,77.25,1986,2,22,0.05,0.006277,99,16.72,0.61,4.77,7.38
28.75,77.25,1986,2,22,0.01,0.006375,98.94,16.47,0.61,4.77,7.38
28.25,77.25,1986,2,23,0.1,0.00522,98.99,15.66,0.68,5.38,6.72
28.75,77.25,1986,2,23,0.28,0.005373,98.92,15.44,0.68,5.38,6.72
28.25,77.25,1986,2,24,0,0.004227,98.94,15.62,0.73,5.82,7.02
28.75,77.25,1986,2,24,0,0.0043,98.88,15.46,0.73,5.82,7.02
28.25,77.25,1986,2,25,0,0.004019,98.93,15.71,0.77,6.19,6.96
28.75,77.25,1986,2,25,0,0.004167,98.86,15.77,0.77,6.19,6.96
28.25,77.25,1986,2,26,0,0.003769,98.97,15.25,0.76,6.12,7.16
28.75,77.25,1986,2,26,0,0.003783,98.9,15.35,0.76,6.12,7.16
28.25,77.25,1986,2,27,0,0.003859,98.81,16.51,0.78,6.32,6.84
28.75,77.25,1986,2,27,0,0.003847,98.75,16.16,0.78,6.32,6.84
28.25,77.25,1986,2,28,0,0.004253,98.77,18.11,0.73,6.01,7.31
28.75,77.25,1986,2,28,0,0.004261,98.71,17.6,0.73,6.01,7.31
28.25,77.25,1986,3,1,0,0.004625,98.84,18.59,0.79,6.47,6.96
28.75,77.25,1986,3,1,0,0.004568,98.78,18.33,0.79,6.47,6.96
28.25,77.25,1986,3,2,0,0.004574,98.98,18.57,0.62,5.17,7.17
28.75,77.25,1986,3,2,0,0.004655,98.91,18.42,0.62,5.17,7.17
28.25,77.25,1986,3,3,0,0.004229,99.02,18.72,0.6,5.03,7.49
28.75,77.25,1986,3,3,0,0.004219,98.95,18.59,0.6,5.03,7.49
28.25,77.25,1986,3,4,0,0.004636,98.91,20.16,0.53,4.41,8.76
28.75,77.25,1986,3,4,0,0.004688,98.85,20,0.53,4.41,8.76
28.25,77.25,1986,3,5,0,0.004897,98.78,20.98,0.69,5.79,7.35
28.75,77.25,1986,3,5,0,0.00495,98.73,20.85,0.69,5.79,7.35
28.25,77.25,1986,3,6,0,0.00513,98.76,21.41,0.73,6.2,8.2
28.75,77.25,1986,3,6,0,0.005208,98.72,21.15,0.73,6.2,8.2
28.25,77.25,1986,3,7,0,0.005651,98.72,22.95,0.76,6.52,7.43
28.75,77.25,1986,3,7,0,0.00558,98.67,22.32,0.76,6.52,7.43
28.25,77.25,1986,3,8,0,0.005187,98.72,22.65,0.72,6.24,7.94
28.75,77.25,1986,3,8,0,0.005023,98.67,22.03,0.72,6.24,7.94
28.25,77.25,1986,3,9,0,0.006165,98.69,24.22,0.75,6.54,8.39
28.75,77.25,1986,3,9,0,0.006343,98.64,23.74,0.75,6.54,8.39
28.25,77.25,1986,3,10,0,0.007344,98.5,26.53,0.57,4.98,9.6
28.75,77.25,1986,3,10,0,0.007117,98.46,26.18,0.57,4.98,9.6
28.25,77.25,1986,3,11,0,0.007348,98.39,26.2,0.72,6.31,8.41
28.75,77.25,1986,3,11,0,0.007587,98.36,25.88,0.72,6.31,8.41
28.25,77.25,1986,3,12,0.07,0.006846,98.41,24.83,0.58,5.15,8.05
28.75,77.25,1986,3,12,0.09,0.007259,98.36,24.65,0.58,5.15,8.05
28.25,77.25,1986,3,13,0.36,0.006166,98.48,25.04,0.58,5.18,8.7
28.75,77.25,1986,3,13,1.03,0.006628,98.45,24.22,0.58,5.18,8.7
28.25,77.25,1986,3,14,0.53,0.006603,98.24,24.84,0.64,5.7,7.94
28.75,77.25,1986,3,14,0.61,0.006792,98.2,24.55,0.64,5.7,7.94
28.25,77.25,1986,3,15,0,0.005274,98.27,22.23,0.78,6.98,7.21
28.75,77.25,1986,3,15,0,0.005409,98.22,21.7,0.78,6.98,7.21
28.25,77.25,1986,3,16,0.68,0.004492,98.47,20.14,0.77,6.99,8.37
28.75,77.25,1986,3,16,1.75,0.004678,98.41,19.75,0.77,6.99,8.37
28.25,77.25,1986,3,17,0,0.004413,98.47,20.74,0.33,2.96,9.6
28.75,77.25,1986,3,17,0,0.004784,98.45,19.53,0.33,2.96,9.6
28.25,77.25,1986,3,18,1.58,0.007705,98.25,22.57,0.57,5.16,9.33
28.75,77.25,1986,3,18,1.33,0.008009,98.25,21.04,0.57,5.16,9.33
28.25,77.25,1986,3,19,0.08,0.004968,98.36,21.04,0.74,6.81,8.59
28.75,77.25,1986,3,19,0.9,0.005468,98.31,20.44,0.74,6.81,8.59
28.25,77.25,1986,3,20,0.99,0.003702,98.55,19.27,0.8,7.39,6.66
28.75,77.25,1986,3,20,1.94,0.00402,98.49,18.75,0.8,7.39,6.66
28.25,77.25,1986,3,21,0.01,0.003856,98.54,21.15,0.54,4.97,9.21
28.75,77.25,1986,3,21,0.03,0.004176,98.51,20.29,0.54,4.97,9.21
28.25,77.25,1986,3,22,0.04,0.00703,98.44,21.2,0.54,5.03,8.72
28.75,77.25,1986,3,22,0.05,0.007364,98.41,21.26,0.54,5.03,8.72
28.25,77.25,1986,3,23,0,0.006521,98.44,23.25,0.57,5.35,8.7
28.75,77.25,1986,3,23,0.06,0.006639,98.4,22.99,0.57,5.35,8.7
28.25,77.25,1986,3,24,1.17,0.005639,98.61,22.68,0.69,6.48,7.26
28.75,77.25,1986,3,24,1.31,0.005815,98.56,22.14,0.69,6.48,7.26
28.25,77.25,1986,3,25,0,0.004296,98.8,20.87,0.64,6.07,8
28.75,77.25,1986,3,25,0,0.004469,98.73,20.69,0.64,6.07,8
28.25,77.25,1986,3,26,0,0.004458,98.92,23.32,0.77,7.34,8.07
28.75,77.25,1986,3,26,0,0.004657,98.86,23.02,0.77,7.34,8.07
28.25,77.25,1986,3,27,0,0.005169,98.71,26.1,0.76,7.28,8.08
28.75,77.25,1986,3,27,0,0.005569,98.64,25.82,0.76,7.28,8.08
28.25,77.25,1986,3,28,0,0.005334,98.35,27.46,0.64,6.12,8.44
28.75,77.25,1986,3,28,0,0.005942,98.3,27.11,0.64,6.12,8.44
28.25,77.25,1986,3,29,0,0.005414,98.18,27.83,0.72,6.96,8.87
28.75,77.25,1986,3,29,0,0.005822,98.14,27.16,0.72,6.96,8.87
28.25,77.25,1986,3,30,0,0.00516,98.16,28.44,0.35,3.39,10.26
28.75,77.25,1986,3,30,0,0.005628,98.14,27.67,0.35,3.39,10.26
28.25,77.25,1986,3,31,0,0.004909,98.16,26.5,0.56,5.43,8.71
28.75,77.25,1986,3,31,0,0.00499,98.13,25.98,0.56,5.43,8.71
28.25,77.25,1986,4,1,1.82,0.00481,98.28,26.16,0.54,5.27,9.3
28.75,77.25,1986,4,1,2.09,0.005121,98.25,25.58,0.54,5.27,9.3
28.25,77.25,1986,4,2,0,0.003797,98.26,27.36,0.54,5.26,9.35
28.75,77.25,1986,4,2,0,0.00415,98.21,26.57,0.54,5.26,9.35
28.25,77.25,1986,4,3,0,0.003455,98.41,26.08,0.71,7,7.97
28.75,77.25,1986,4,3,0,0.003895,98.36,25.36,0.71,7,7.97
28.25,77.25,1986,4,4,0.63,0.003669,98.65,24.95,0.76,7.5,8.19
28.75,77.25,1986,4,4,0.64,0.003949,98.61,24.6,0.76,7.5,8.19
28.25,77.25,1986,4,5,0,0.003152,98.68,24.76,0.76,7.58,7.46
28.75,77.25,1986,4,5,0,0.003512,98.62,24.39,0.76,7.58,7.46
28.25,77.25,1986,4,6,0,0.003142,98.45,26.98,0.75,7.49,7.65
28.75,77.25,1986,4,6,0,0.003486,98.4,26.31,0.75,7.49,7.65
28.25,77.25,1986,4,7,0,0.003926,98.24,29.2,0.73,7.37,8.36
28.75,77.25,1986,4,7,0,0.004619,98.2,28.35,0.73,7.37,8.36
28.25,77.25,1986,4,8,0,0.005455,98.12,30.73,0.51,5.11,8.32
28.75,77.25,1986,4,8,0,0.005725,98.07,29.97,0.51,5.11,8.32
28.25,77.25,1986,4,9,0,0.006276,98.04,32.44,0.42,4.2,9.5
28.75,77.25,1986,4,9,0,0.006454,98,31.91,0.42,4.2,9.5
28.25,77.25,1986,4,10,0,0.006795,98.2,33.3,0.5,5.03,10.45
28.75,77.25,1986,4,10,0,0.007035,98.15,32.68,0.5,5.03,10.45
28.25,77.25,1986,4,11,0,0.00779,98.34,31.97,0.51,5.18,9.52
28.75,77.25,1986,4,11,0,0.008122,98.28,31.91,0.51,5.18,9.52
28.25,77.25,1986,4,12,0,0.008084,98.23,33.17,0.5,5.13,9.75
28.75,77.25,1986,4,12,0.07,0.008095,98.18,33.18,0.5,5.13,9.75
28.25,77.25,1986,4,13,0.14,0.008281,98.1,33.68,0.6,6.17,9.18
28.75,77.25,1986,4,13,0.33,0.008239,98.04,33.31,0.6,6.17,9.18
28.25,77.25,1986,4,14,0.03,0.006733,98.31,33.88,0.67,6.88,8.75
28.75,77.25,1986,4,14,0.13,0.006987,98.26,33.37,0.67,6.88,8.75
28.25,77.25,1986,4,15,0,0.006259,98.34,31.83,0.72,7.42,8.92
28.75,77.25,1986,4,15,0,0.006399,98.27,31.37,0.72,7.42,8.92
28.25,77.25,1986,4,16,0,0.005312,98.08,32.62,0.63,6.59,9.95
28.75,77.25,1986,4,16,0,0.005426,98.01,31.95,0.63,6.59,9.95
28.25,77.25,1986,4,17,0,0.004032,97.76,31.82,0.77,7.97,7.94
28.75,77.25,1986,4,17,0,0.004283,97.7,31.24,0.77,7.97,7.94
28.25,77.25,1986,4,18,0,0.002965,97.77,31.08,0.54,5.62,8.53
28.75,77.25,1986,4,18,0,0.00292,97.71,31.13,0.54,5.62,8.53
28.25,77.25,1986,4,19,0,0.003262,97.99,32.46,0.53,5.58,8.3
28.75,77.25,1986,4,19,0,0.003668,97.93,32.22,0.53,5.58,8.3
28.25,77.25,1986,4,20,0,0.003531,97.96,32.84,0.51,5.39,8.41
28.75,77.25,1986,4,20,0,0.00368,97.89,32.49,0.51,5.39,8.41
28.25,77.25,1986,4,21,0,0.003624,97.93,34.19,0.52,5.43,8.53
28.75,77.25,1986,4,21,0,0.00375,97.86,33.9,0.52,5.43,8.53
28.25,77.25,1986,4,22,0,0.003266,98.01,35.11,0.58,6.13,8.51
28.75,77.25,1986,4,22,0,0.003351,97.97,34.76,0.58,6.13,8.51
28.25,77.25,1986,4,23,0,0.003472,97.76,35.65,0.58,6.2,10.1
28.75,77.25,1986,4,23,0,0.003484,97.71,35.1,0.58,6.2,10.1
28.25,77.25,1986,4,24,0,0.004091,97.44,33.22,0.74,7.86,10.37
28.75,77.25,1986,4,24,0,0.003913,97.4,32.6,0.74,7.86,10.37
28.25,77.25,1986,4,25,0,0.005165,97.55,34.6,0.56,6.01,10.82
28.75,77.25,1986,4,25,0,0.005205,97.51,34.25,0.56,6.01,10.82
28.25,77.25,1986,4,26,0,0.004737,97.73,34.97,0.63,6.75,11.03
28.75,77.25,1986,4,26,0,0.004893,97.7,34.39,0.63,6.75,11.03
28.25,77.25,1986,4,27,2.17,0.004937,97.77,33.14,0.54,5.75,10.98
28.75,77.25,1986,4,27,3.3,0.005429,97.74,32.45,0.54,5.75,10.98
28.25,77.25,1986,4,28,0.92,0.005417,97.87,32.25,0.73,7.87,8.49
28.75,77.25,1986,4,28,0.21,0.005672,97.85,31.76,0.73,7.87,8.49
28.25,77.25,1986,4,29,0.01,0.004127,97.98,31.53,0.53,5.76,8.64
28.75,77.25,1986,4,29,0.05,0.004238,97.93,31,0.53,5.76,8.64
28.25,77.25,1986,4,30,0,0.004348,98.13,32.67,0.54,5.81,8.37
28.75,77.25,1986,4,30,0,0.004401,98.07,32.53,0.54,5.81,8.37
28.25,77.25,1986,5,1,0,0.004765,98.01,34.72,0.55,5.92,11.07
28.75,77.25,1986,5,1,0,0.004951,97.95,34.36,0.55,5.92,11.07
28.25,77.25,1986,5,2,0,0.005489,97.93,36.34,0.72,7.82,9.14
28.75,77.25,1986,5,2,0,0.005401,97.89,35.87,0.72,7.82,9.14
28.25,77.25,1986,5,3,0.08,0.005014,97.98,35.84,0.54,5.88,8.97
28.75,77.25,1986,5,3,0.02,0.004865,97.94,35.27,0.54,5.88,8.97
28.25,77.25,1986,5,4,0.02,0.004619,97.98,33.37,0.53,5.79,9.84
28.75,77.25,1986,5,4,0.01,0.004705,97.91,33.07,0.53,5.79,9.84
28.25,77.25,1986,5,5,0.01,0.003678,97.76,34,0.54,5.86,8.65
28.75,77.25,1986,5,5,0.04,0.003887,97.69,33.86,0.54,5.86,8.65
28.25,77.25,1986,5,6,0,0.003026,97.65,35.79,0.53,5.83,8.74
28.75,77.25,1986,5,6,0,0.003149,97.58,35.64,0.53,5.83,8.74
28.25,77.25,1986,5,7,0,0.00301,97.69,36.29,0.52,5.7,9.23
28.75,77.25,1986,5,7,0,0.00317,97.65,35.61,0.52,5.7,9.23
28.25,77.25,1986,5,8,0,0.005928,97.88,36.46,0.59,6.43,10.92
28.75,77.25,1986,5,8,0,0.005995,97.84,36.19,0.59,6.43,10.92
28.25,77.25,1986,5,9,0.27,0.006287,97.79,37.33,0.6,6.63,10.76
28.75,77.25,1986,5,9,0.37,0.006537,97.74,37.26,0.6,6.63,10.76
28.25,77.25,1986,5,10,0.35,0.005117,97.62,37.11,0.61,6.76,10.84
28.75,77.25,1986,5,10,0.75,0.005216,97.57,36.64,0.61,6.76,10.84
28.25,77.25,1986,5,11,0.15,0.006506,97.58,37.27,0.6,6.66,9.11
28.75,77.25,1986,5,11,0.47,0.005723,97.54,36.57,0.6,6.66,9.11
28.25,77.25,1986,5,12,0,0.005384,97.61,38.28,0.71,7.85,8.9
28.75,77.25,1986,5,12,0.03,0.0052,97.56,37.48,0.71,7.85,8.9
28.25,77.25,1986,5,13,0,0.005791,97.66,38.62,0.55,6.11,9.34
28.75,77.25,1986,5,13,0,0.005807,97.6,38.3,0.55,6.11,9.34
28.25,77.25,1986,5,14,1.07,0.005749,97.61,39.05,0.53,5.86,10.07
28.75,77.25,1986,5,14,0.1,0.005457,97.55,38.53,0.53,5.86,10.07
28.25,77.25,1986,5,15,0.65,0.00529,97.38,39.42,0.55,6.09,9.6
28.75,77.25,1986,5,15,0.53,0.004567,97.32,38.78,0.55,6.09,9.6
28.25,77.25,1986,5,16,0.07,0.005477,97.37,39.09,0.5,5.53,11.25
28.75,77.25,1986,5,16,0.02,0.005025,97.35,38.7,0.5,5.53,11.25
28.25,77.25,1986,5,17,0.48,0.006462,97.39,38.33,0.51,5.66,9.21
28.75,77.25,1986,5,17,0.6,0.006025,97.35,37.66,0.51,5.66,9.21
28.25,77.25,1986,5,18,0.25,0.004637,97.12,38.09,0.54,6.08,10.53
28.75,77.25,1986,5,18,0.46,0.004368,97.08,37.63,0.54,6.08,10.53
28.25,77.25,1986,5,19,0,0.005775,97.06,37.04,0.59,6.6,10.63
28.75,77.25,1986,5,19,0.23,0.006279,97.02,36.6,0.59,6.6,10.63
28.25,77.25,1986,5,20,0.4,0.004605,97.4,35.83,0.56,6.29,9.21
28.75,77.25,1986,5,20,1.56,0.006802,97.36,35.47,0.56,6.29,9.21
28.25,77.25,1986,5,21,0.05,0.00242,97.84,32.42,0.53,5.92,8.61
28.75,77.25,1986,5,21,0.12,0.003367,97.78,32.08,0.53,5.92,8.61
28.25,77.25,1986,5,22,0.05,0.002553,98.17,32.67,0.73,8.15,8.04
28.75,77.25,1986,5,22,0.24,0.002954,98.14,31.83,0.73,8.15,8.04
28.25,77.25,1986,5,23,0,0.003283,98.09,33.53,0.55,6.16,7.93
28.75,77.25,1986,5,23,0,0.00349,98.04,32.83,0.55,6.16,7.93
28.25,77.25,1986,5,24,0,0.002482,97.78,34.18,0.54,6.13,8.26
28.75,77.25,1986,5,24,0,0.002636,97.72,33.53,0.54,6.13,8.26
28.25,77.25,1986,5,25,0,0.002401,97.6,35.91,0.52,5.88,9.46
28.75,77.25,1986,5,25,0,0.002594,97.55,35.24,0.52,5.88,9.46
28.25,77.25,1986,5,26,0,0.004723,97.5,37.82,0.16,1.76,9.75
28.75,77.25,1986,5,26,0,0.004412,97.44,37.39,0.16,1.76,9.75
28.25,77.25,1986,5,27,12.95,0.011543,97.81,34.56,0.57,6.39,9.86
28.75,77.25,1986,5,27,13.23,0.011405,97.77,33.7,0.57,6.39,9.86
28.25,77.25,1986,5,28,0,0.01147,98.08,34.84,0.33,3.68,9.46
28.75,77.25,1986,5,28,0,0.010455,98.04,34.58,0.33,3.68,9.46
28.25,77.25,1986,5,29,0.02,0.010971,98,35.97,0.57,6.39,9.97
28.75,77.25,1986,5,29,0.02,0.009723,97.97,35.25,0.57,6.39,9.97
28.25,77.25,1986,5,30,0.66,0.008247,97.89,35.51,0.65,7.34,10.31
28.75,77.25,1986,5,30,0.21,0.007208,97.85,35.15,0.65,7.34,10.31
28.25,77.25,1986,5,31,0.06,0.008245,97.98,36.54,0.47,5.34,10.56
28.75,77.25,1986,5,31,0.32,0.007992,97.97,36.12,0.47,5.34,10.56
28.25,77.25,1986,6,1,0.68,0.006974,98.15,34.99,0.53,6.02,8.56
28.75,77.25,1986,6,1,1.14,0.006868,98.1,34.37,0.53,6.02,8.56
28.25,77.25,1986,6,2,0.4,0.00694,98.02,34.42,0.46,5.25,9.32
28.75,77.25,1986,6,2,1.32,0.007166,97.96,33.61,0.46,5.25,9.32
28.25,77.25,1986,6,3,0,0.007124,97.65,35.85,0.63,7.2,9.54
28.75,77.25,1986,6,3,0,0.007288,97.59,35.1,0.63,7.2,9.54
28.25,77.25,1986,6,4,0.01,0.007665,97.59,36.81,0.52,5.95,10.43
28.75,77.25,1986,6,4,0.01,0.007078,97.54,36.42,0.52,5.95,10.43
28.25,77.25,1986,6,5,0.29,0.006356,97.68,36.8,0.52,5.91,9.54
28.75,77.25,1986,6,5,0.09,0.00628,97.62,36.37,0.52,5.91,9.54
28.25,77.25,1986,6,6,0.58,0.006232,97.56,36.61,0.52,5.87,10.25
28.75,77.25,1986,6,6,0.71,0.006038,97.49,36.19,0.52,5.87,10.25
28.25,77.25,1986,6,7,0.01,0.007318,97.53,37.77,0.53,5.98,9.43
28.75,77.25,1986,6,7,0.01,0.006775,97.45,37.74,0.53,5.98,9.43
28.25,77.25,1986,6,8,0,0.005276,97.58,37.97,0.52,5.94,9.56
28.75,77.25,1986,6,8,0,0.005006,97.52,37.8,0.52,5.94,9.56
28.25,77.25,1986,6,9,0,0.004446,97.44,38.08,0.55,6.21,8.86
28.75,77.25,1986,6,9,0,0.004198,97.36,37.69,0.55,6.21,8.86
28.25,77.25,1986,6,10,0,0.004849,97.15,40.11,0.61,6.92,9.19
28.75,77.25,1986,6,10,0,0.004784,97.07,39.71,0.61,6.92,9.19
28.25,77.25,1986,6,11,0,0.006344,97.27,39.81,0.65,7.36,11.49
28.75,77.25,1986,6,11,0,0.006106,97.2,39.57,0.65,7.36,11.49
